id,joke
"auBje0ZFReOi4mgGkfeweA","Every woman who has experienced multiple orgasms has one thing in common with all the others: each one was with Chuck Norris at the time."
"yXfvekTsRcSqIlN98ypIXQ","Chuck Norris doesn't use stunt doubles, except for in the crying scenes."
"vl3TU7wBSm6nbPZJtbaS2g","Every night before he goes to bed, the Boogeyman checks under his bed for Chuck Norris."
"pU2aKBpWRBOegGG5PY2ETw","Q: What's the difference between 1) Facebook people, phone messages, and consumer fads and 2) Chuck Norris's fist? A: You can block the first 3!"
"eKppRNjRSBKzzn-GSkXwQA","When Chuck Norris has sex he's goes on top cus he never screws up"
"1-dII60OQGKZfsnmsiJ-bA","Which phrase has Chuck Norris never spoken? a. ""I was wrong."" b. ""My bad."" c. ""I don't know."" d. ""Was it good for you?"" e. All of the above The answer is ""e."" Chuck knows all, never makes a mistake, and satisfies every woman he nails at least twice each time."
"KRsiPre6QGOO73dQawX5jw","Chuck Norris completed world of warcraft with out killing or looting anything."
"ZusEHMrDQdmSKVBYuNE67A","Chuck Norris can eat 3 bean burritos then go to the lake and take a whirlpool bath."
"7F66zbKsTpWppX_J7RnduA","Chuck Norris's beard can cure breast cancer."
"Amqh7lBlSviVQyg4fQojGQ","Chuck Norris' appendix has burst at least 15 times, but Chuck don't give a fuck."
"hZA36j9nSh-WCboV4ix_yw","Helen Keler's favorite color is Chuck Norris"
"rvctRhJZQb-d1u9A3gqRMg","Chuck Norris can force you to eat your own head."
"UDIEYf2rQ42to8tMf2L0QQ","Chuck Norris once hijacked a frieght train and drove it to a Home Depot."
"lhw5nmosqkcbrdivtsjwgq","Chuck Norris doesn't chew gum. Chuck Norris chews tin foil."
"xZhQTBcQTMyXiqJ_SFe7dA","The Colosseum is the last remaining Chuck Norris memorabilia on earth (apart from the earth itself). It was actually his first shit pot. When he grow up and left it, crowds of people started coming in just to view his shit and soon, kings, soldiers, gladiators and animals started fighting for it."
"SmSlZPpSQBm0oZqnRqBh_Q","Chuck Norris once kicked a baby elephant into puberty"
"7EJo_Sj0RRCENoy80o1org","It goes without saying that you can't hold a candle to Chuck Norris. Mainly because he will fart on it and incinerate you."
"QoE68uNnSHKOBWo6HREmsA","Hitler wanted to give Chuck Norris a gift for his fifth birthday. Unfortunately for Hitler, he gave it to Chuck a month late. This made Chuck Norris mad, so as a result, Hitler was forced to kill himself."
"JOf4UPM3Q1u-P-_SwGF9ww","Face your problems, unless your face is the problem which Chuck Norris roundhouse kicked."
"_bCRrO77QgaR0adMAPJNYA","the 3 blind mice may have rang all the bells in the church Chuck Norris rang all the bells in america the snap of his fingers then he got an award for rape"
"GxhpqJDERvGwmLKJ4VgO5g","James Bond says his name twice to introduce himself. Chuck Norris just roundhouse kicks you in the face."
"qbfnqa0pstsl00i2he3g7w","Chuck Norris once went skydiving, but promised never to do it again. One Grand Canyon is enough."
"ry-52RR3QJu2fd2K1iw3vA","Archaeologists in Egypt have recently discovered what may be the world's oldest Chuck Norris fact written on the inside of a sarcophagus - translated from the ancient language, it reads 'Big Chuck is holding a gun to my head and telling me to write this/Big Chuck is the lord of time travel/All hail Big Chuck'."
"EK84Mbe9ROmYQdEdAvbRZw","Chuck Norris' internet connection doesn't just use band width... It uses the whole orchestra."
"mDB0bXSeTqCUr6fdS3c-lQ","Chuck Norris unclogs his toilet with a backhoe."
"9c4bOj-wQgeokVIkkJQAgQ","Chuck Norris once looked at an inmovable object and it ran in fear."
"k6WZTo85QhS7Nex4jcTuyA","Chuck Norris doesn't bend the truth, he snaps its' neck."
"o4xctWmnQl2_VjGxt1dlCQ","Chuck Norris doesn't moisturize. Chuck Norris waterboards."
"FhTO-GAqSImKWZlLcmKHRA","CHUCK NORRIS ONCE DONE THE SPLITS ON 2 VAN DAMMES"
"We33aYxxRg2kXaVucJ0pNw","Christians are afraid of Satan, Satan is afraid of Chuck Norris"
"T-A2A15hQfypHc__-eijbg","When Chuck Norris go's to Mcdonalds he turns everyone into an unhappy meal."
"H24YVAooTgmxMzJBl9NuDg","Every time Chuck Norris enters a room the theme from Walker, Texas Ranger plays."
"-Z5FIMGTSmGStr-gkend8w","When Chuck Norris was 5, he went to the Mall to see Santa. Santa asked ""what would you like little boy, a train set? A bike? Chuck replied ""no Santa, I want a rocket launcher""."
"QgQ6Zk1ETeCMdIPJXM-DUA","If you add Chuck Norris to your friends list, all your other friends will instantly disappear. You don't need them anymore."
"4mbucvcaSxmokNzDDjTV6A","Chuck Norris can ride a bike. Without getting on."
"txypv4AHRxavY0rku-fouw","Chuck Norris does sleep. He sleeps with his eyes wide open and a very big grin."
"TS5MAdPNTk2oXdUvbuJSgA","Chuck Norris reaches 11 on the Richter Scale, if you confront him and say it only goes to 10 you will recieve a roundhouse kick..which will reach 12."
"uX56eoMrSNCyiBbr9b3g2g","In the movie ""Batman: The Dark Knight"", Bats asks a local goon, ""Where's the Joker?!"" A deleted scene has Chuck Norris teleport into the interrogation room and say, ""I killed him."" This was arranged due to Heath Ledger's untimely death, so Chuck stepped in and played a pretty mean Joker, wouldn't you say? If you don't agree, you've got three seconds to change your mind...or die."
"1NMf3RwrRre-WfGfZvllhg","all gods pray to Chuck Norris"
"04BokrcUS_Wj8atdm35GCA","Chuck Norris won the Indy 500. On an Exercise Bike."
"bwfx9l2BRXeQtmENnoByvQ","Chuck Norris threw his first paper aeroplane age 4... It landed yesterday."
"jXS8_BYXTO68DUvBJ_tHng","The Military has nothing on Chuck Norris. Chuck Norris is the real ARMY OF ONE!!!"
"RHmdtVSHQsuosAt4dlrhvQ","Chuck Norris' penis is the size of a fire extinguisher. And can pretty much do the same job."
"iPmKYyo5QM23Wx36vcOB8A","Chuck Norris once completed a perfect swan dive in tuck position from the high dive into an empty swimming pool."
"djqD5mUgQ3iVLGBS3Sr7TQ","The Necronomicon is dedicated to Chuck Norris."
"E1j0zUo0Qu6CxipghyLQeQ","the movie ""contagion"" is a movie about what would happen if Chuck Norris ever to sneezed."
"xMVa7AAyQdCy5fpPQ9ST0A","the tide recedes because it knows Chuck Norris is coming"
"BjSs_8lPTcWJft-vY-iC7A","Many people wonder why Star Wars begins with ""A long time ago, in a galaxy far, far away""... Well, Chuck Norris roundhouse kicked all the jedi, clones & other aliens in that galaxy and moved to ours."
"dxp6hh4rTNaFVOqOMFDmnA","Lesbians have Chuck Norris tendencies."
"GLQFInstSsWqavBNOZDcKA","When Chuck Norris got his vasectomy, the Doctor put his scalpel back in the drawer and used a chainsaw."
"SswyaJadTLKQT3iI3Ipc5Q","the real reason king kong fell was because he realized he had awaken Chuck Norris so he commited suicide."
"fRKcXqYjTjuSwcvSOOkd2w","Big Foot takes plaster molds of Chuck Norris' footprints"
