id,joke
"7O06NNSpRrajZVampZAsxA","Chuck Norris lives in a permanent state of chronosynclastic infundibulum."
"oMznzorrRL-UmKuTbmuJ0g","Chuck Norris wipes his ass with various non-American flags."
"CUk3hgSDTWyiQLjk0EEuyw","Chuck Norris was able to jumped the Grand Canyon on his grand-daughter's tricycle."
"HxZCuBMSRNSjvpcTcjLeww","Chuck Norris has wings - on his balls ... of steel."
"bFEAud2cQRq6yBPb492eTw","Chuck Norris is allergic to mercy. Enough said."
"nixwdo9aTjGGxjL0UjSrvQ","Chuck Norris has two speeds. Walk, and Kill."
"GiKwrLKbTMeXsqHFZlXO4A","Chuck Norris can break a rubber band in half"
"U1BS_Ro5QeSr0vn6yQMvtw","Chuck Norris can un-spike punch."
"JWYJqHFwSza1I5YvBFb6XQ","Chuck Norris once paid a chef in Australia to cook him up a koala bear."
"TGFYYh2hTiazBHV02yLlrQ","'Hakuna Matata' is actually Swahili for 'all hail Chuck Norris'."
"zv6ti9v3tasxsokpd5w_aq","Chuck Norris doesnt wear a watch, HE decides what time it is."
"-TTubSnlS_yttRztA1TymA","Chuck Norris volunteers at the hospital, he pulls the plugs"
"Hg0ncut5Tba9MNMPLMPs9Q","Rock, Paper, Scissors, Chuck Norris wins."
"u-W2xJ4FT3mtrSchyw78BQ","Chuck Norris is so accurate he can shoot a bullet through the scope of a gun... the scope of the gun he just shot the bullet from"
"aHzHohghQduwguKfyzQZag","Life is in no way as large as Chuck Norris"
"j-IpTJQ-QKmpBNIzKGwTew","Chuck Norris knows at least forty-seven words that end in -gasm."
"-ePGBt5aQJKOSXkCNQsjDw","A Chuck Norris roundhouse kick to the head is the reason Eric Holder can't remember his involvement in Operation Fast and Furious."
"Senqd-jfQmG1ghtexa8CTw","Like Robert Johnson, Chuck Norris went to the crossroads and fell upon his knee. Unlike Robert Johnson however, Chuck Norris then said 'fuck this shit' and became cool."
"ov5fl59UT-SgbxuP8LAreA","Once, after chugging a gallon of Captain Morgan Rum, Chuck Norris french kissed a transexual frog. Nine month later, Chaz Bono was born."
"lIRk_stZRH2I1bB1UDUuqQ","When Chuck Norris walks into a bar, he automatically owns all the women inside and instantly has an infinite tab."
"yqquX2HQS66dHcnmY9qkhQ","The worst thing you can see on this planet is your own reflection in Chuck Norris eyes; it will also be the last thing you see."
"OnAeKTQ6TpKDf6FVcAsscg","Chuck Norris uses a flamethrower to light his BBQ."
"-qY1BvEMQkKjMuYE8Va3og","Chuck Norris once got an A+ for eating his essay and calling his 7th Grade teacher a pussy."
"V6wpaZJxQJWQpAY76Pffvw","Chuck Norris never gets 'caught' in the crossfire. He revels in it."
"rkG_VAn9TGiJXq3glYEX5A","Chuck Norris CAN see John Cena."
"z5qEotD_QJuz026NClbROA","Chuck Norris was so pissed, he accidently hit something that borke the moon."
"GIgE7QjRQcOa9P0sxQEBhg","Chuck Norris can Halo jump without a parachute in the air 20 billion times and touch a target on the ground with ease."
"9y7m4lGSTm6frWvcXIQKDA","Nobody knows how many fingers Chuck Norris has on each hand because no one can tell before they die."
"vuAS3JmqQW6-7SKeUxf2lA","When Chuck Norris plays Monopoly, he never has to go to Jail, not pass Go and not collect $200."
"qN6_jX2JTmCHvpr6AJjv7g","Chuck Norris doesn't have nightmares, nightmares have him"
"dxxn0mrktb6-ewhec7bedq","In a recent survey it was discovered the 94% of American women lost their virginity to Chuck Norris. The other 6% were incredibly fat or ugly."
"R7wTbrpuSquNzYlzv6MzTQ","Chuck Norris went to the super bowl with only himself."
